handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_36adc3fc-35b8-7b0a-b325-d281ef0938da,Product,"Spa Recovery Himalayan Bath Salt (With Essential Oils), Glass Bottle","<p>Sourced from the foothills of the Himlayas in Pakistan, these salts will add a spa-like quality to any bath or hot tub and can even be used as a rejuvenating foot soak. Containing 84 minerals including magnesium, calcium, phosphorus and iron (which gives the salt its unique pink colour) these salts will offer you a relaxing experience that can help replenish skin giving a natural glow.<br>&nbsp;</p><p>We offer our Himalayan Salt infused with a delightful blend of essential oils. This revitalizing combination includes eucalyptus, peppermint, rosemary, orange, citronella, aniseed, and thyme essential oils.</p>",8079b4_ceb52cfe49e942f3b296308bac4b15e3~mv2.png;8079b4_488d71f6998f4071a58b71489b4d6929~mv2.jpg,Bath & Body,BS07SR,,12.0,,true,PERCENT,0.0,InStock,0.5,3.6,,,,,,,,,,,,,,,,,,,INGREDIENTS,"<p>Ingredients: Sodium chloride (Himalayan salt), essential oils of eucalyptus, peppermint, rosemary, orange, citronella, aniseed, and thyme.</p>

<p>300g</p>
",HOW TO USE,"<p>How to use: Add a generous amount (about 1-2 tablespoons) of the bath salt to warm, running water. Allow the salts to dissolve for approximately 5 minutes before getting in and enjoying a long, relaxing soak</p>
",CAUTION,"<p>Caution: For external use only. Not for use on mucous membranes, irritated or broken skin. If irritation occurs stop bathing, discontinue use and rinse with water. If irritation persists, seek medical advice. Always seek medical advice from a doctor before use if pregnant, breastfeeding or have very sensitive skin. Keep away from eyes, if in eyes rinse well with water. Do not eat or ingest. Keep out of reach of children.</p>
",SHIPPING INFO,"<p>SHIPPING INFO</p>

<p dir=""ltr"">FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p dir=""ltr""><br>
Standart Delivery.<br>
3 - 5 working days.</p>

<p dir=""ltr"">Express Delivery.<br>
1 - 2&nbsp;working days.</p>

<p dir=""ltr"">We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,Blossom Soul
product_d8287605-8ea4-b296-ca2a-0a8f9344a494,Product,English Pear & Spices Reed Diffuser 100ml,"<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>Rich, fresh and sweet top notes of ripe pear and dessert wine, give way to subtle spicy undertones of cinnamon and nutmeg.<br>&nbsp;</p><p>Top: Green Pear, Brown Sugar, Apple</p><p>Middle: Coconut, Cinnamon, Nutmeg</p><p>Base: Musk, Orange, Peppermint<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>",8079b4_2b131b859dc14202ba2552a9f4a53cd2~mv2.jpg;8079b4_b3c233043c4f45d78c7931c514d0b466~mv2.jpg,Reed Diffusers,DIF06EPS,,22.0,,true,PERCENT,0.0,InStock,0.25,7.5,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Made with an alcohol-free, non-flammable natural vegetable base which has been blended with top quality essential or fragrance oils to make rooms smell amazing. Each kit comes with 10 natural rattan reed sticks.</p>

<p>To release the aroma, take out the stopper, and place the rattan reed sticks in the bottle. Allow the oil to be naturally drawn up the tiny capillaries in the sticks. The oil will last longer if placed in a cooler part of the room; if a diffuser is placed near a source of heat or in sunlight, it will evaporate quite quickly.<br>
&nbsp;</p>

<p>Natural Reeds,&nbsp; Recycled Amber Glass<br>
100ml</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
&nbsp;</p>

<p>We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_fa06cab1-bdcc-06c7-2f25-2136cf368b2a,Product,Moroccan Rose Reed Diffuser 100ml,"<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>An exotic, heady blend of rose buds, orange blossom and citrus top notes, with floral heart notes of geranium, patchouli, jasmine, lily and spice.</p><p>&nbsp;</p><p>Top: Rose buds, Orange Blossom, Grapefruit</p><p>Middle: Rose Geranium, Jasmine, Lily</p><p>Base: Sandalwood, Patchouli, Pink Peppercorn<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>",8079b4_3483ea0bebf943f087c6d711b60bdedf~mv2.jpg;8079b4_77e07555333f480e88018497694158d7~mv2.jpg;8079b4_9b98de0f83f24d9aae5aefbf18c35c5a~mv2.jpg,Reed Diffusers,DIF05MR,,22.0,,true,PERCENT,0.0,InStock,0.25,7.5,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Made with an alcohol-free, non-flammable natural vegetable base which has been blended with top quality essential or fragrance oils to make rooms smell amazing. Each kit comes with 10 natural rattan reed sticks.</p>

<p>To release the aroma, take out the stopper, and place the rattan reed sticks in the bottle. Allow the oil to be naturally drawn up the tiny capillaries in the sticks. The oil will last longer if placed in a cooler part of the room; if a diffuser is placed near a source of heat or in sunlight, it will evaporate quite quickly.<br>
&nbsp;</p>

<p>Natural Reeds,&nbsp; Recycled Amber Glass<br>
100ml</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
&nbsp;</p>

<p>We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_eee77893-2049-9ed2-4b67-2d90b48c68aa,Product,Spa Recovery Reed Diffuser (Essential Oils) 100ml,"<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.</p><p><br>A revitalising blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme essential oils.<br><br>An alcohol-free, non-flammable natural vegetable base, essential oils ( blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme).</p><p><br>Natural Reeds, Recycled Amber Glass<br>100ml</p>",8079b4_392bf023857144da87dc11a6b8657605~mv2.jpg;8079b4_08e138a69ccc42f0b8f91350427a3739~mv2.jpg;8079b4_8cc48a62db6f49c690ebbeca1e0c6cf7~mv2.jpg;8079b4_c54ac3e7540c436f8e36c1b702bb7ed0~mv2.jpg,Reed Diffusers,DIF07SR,,22.0,,true,PERCENT,0.0,InStock,0.25,7.5,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Made with an alcohol-free, non-flammable natural vegetable base which has been blended with top quality essential or fragrance oils to make rooms smell amazing. Each kit comes with 10 natural rattan reed sticks.</p>

<p>To release the aroma, take out the stopper, and place the rattan reed sticks in the bottle. Allow the oil to be naturally drawn up the tiny capillaries in the sticks. The oil will last longer if placed in a cooler part of the room; if a diffuser is placed near a source of heat or in sunlight, it will evaporate quite quickly.<br>
&nbsp;</p>

<p>Natural Reeds,&nbsp; Recycled Amber Glass<br>
100ml</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
&nbsp;</p>

<p>We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_4493c472-343b-8a36-d83d-625888e4add8,Product,Amber & Tonka Bean Reed Diffuser 100ml,"<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>A blend of exotic bergamot, grapefruit, cassis, orris, jasmine and orange blossom aromas, with sweet notes of lily, tonka, vanilla and praline on woody base notes of patchouli, cedarwood, musk and amber.<br>&nbsp;</p><p>Top: Bergamot, Grapefruit, Cassis, Orris, Jasmine</p><p>Middle: Tonka Bean, Lily, Vanilla, Burnt Praline</p><p>Base: Patchouli, Cedarwood, Amber, Musk<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>",8079b4_37ddf6bde9bb410e8b129a55a4e8756b~mv2.jpg;8079b4_840376d3b5104b7c81fa5bef187db4b3~mv2.jpg;8079b4_f6c85ca412404cc6becc481f74434cab~mv2.jpg,Reed Diffusers,DIF01ATB,,22.0,,true,PERCENT,0.0,InStock,0.25,7.5,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Made with an alcohol-free, non-flammable natural vegetable base which has been blended with top quality essential or fragrance oils to make rooms smell amazing. Each kit comes with 10 natural rattan reed sticks.</p>

<p>To release the aroma, take out the stopper, and place the rattan reed sticks in the bottle. Allow the oil to be naturally drawn up the tiny capillaries in the sticks. The oil will last longer if placed in a cooler part of the room; if a diffuser is placed near a source of heat or in sunlight, it will evaporate quite quickly.<br>
&nbsp;</p>

<p>Natural Reeds,&nbsp; Recycled Amber Glass<br>
100ml</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
&nbsp;</p>

<p>We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_7b2bdc69-4b45-1a86-3a86-dd1dbc431560,Product,Verbena & Lime Reed Diffuser 100ml,"<p>Our luxury diffuser collection made with essential oils and fine fragrances add a sense of magic to any space.<br>&nbsp;</p><p>The herbaceous, zesty aroma of verbena, combines beautifully with fresh, fruity lime and notes of grapefruit and rosewood for a punchy aroma that awakens the senses.&nbsp;<br>&nbsp;</p><p>Top: Lemon, Grapefruit, Coconut, Mandarin</p><p>Middle: Verbena, Lime, Rosewood</p><p>Base: Cedarwood, Orris, Musk<br><br>An alcohol-free, non-flammable natural vegetable base, fragrance oils.<br>Natural Reeds, Recycled Amber Glass<br>100ml</p>",8079b4_5ed7e4cf691249f8984f146192e5b4a5~mv2.jpg;8079b4_73e067b020be465db86eb414c748c235~mv2.jpg,Reed Diffusers,DIF04VL,,22.0,,true,PERCENT,0.0,InStock,0.25,7.5,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Made with an alcohol-free, non-flammable natural vegetable base which has been blended with top quality essential or fragrance oils to make rooms smell amazing. Each kit comes with 10 natural rattan reed sticks.</p>

<p>To release the aroma, take out the stopper, and place the rattan reed sticks in the bottle. Allow the oil to be naturally drawn up the tiny capillaries in the sticks. The oil will last longer if placed in a cooler part of the room; if a diffuser is placed near a source of heat or in sunlight, it will evaporate quite quickly.<br>
&nbsp;</p>

<p>Natural Reeds,&nbsp; Recycled Amber Glass<br>
100ml</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_b34d2248-967d-4c59-ae17-04c04a4d2323,Product,Spa Recovery Soy Candle (Essential Oils),"<p>Responsibly sourced soy candles with cotton wicks and essential oils.</p><p>&nbsp;</p><p>A revitalising blend of eucalyptus, peppermint, rosemary, orange, citronella, aniseed and thyme essential oils.</p>",8079b4_39f87e9e41084dad93cf8462651e81f3~mv2.png;8079b4_d936f22ff7e34a0e83bfdf275dbb3f7e~mv2.jpg;8079b4_ce26f99d3e214ca4bb246207263cd39c~mv2.png;8079b4_ecf95614b18f4643b4447bebeaa9df0d~mv2.jpg;8079b4_f8c8f1d38b2943c9bae643400e4c69de~mv2.jpg;8079b4_fa13a3436e2b4b04b1443bab408871a1~mv2.jpg;8079b4_050ce3c419e943a398b4921080a4d038~mv2.jpg;8079b4_a3c602c6001e4a32983e5d0c04fb4cff~mv2.jpg;8079b4_a71d4b26cced4c57810c3f3148225cf1~mv2.jpg,Candles,CAN07SR,,24.0,,true,PERCENT,0.0,InStock,0.25,6.4,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Candle dimension: Height 84mm x Diameter 70mm</p>

<p>20cl, 180g<br>
Burn time: Approx 50 hours</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_1e268395-0c6c-2350-f088-a4e8d7f0b24c,Product,English Pear & Spices Soy Candle,"<p>Responsibly sourced soy candles with cotton wick, fine fragrance and essential oils.<br>&nbsp;</p><p>Rich, fresh and sweet top notes of ripe pear and dessert wine, give way to subtle spicy undertones of cinnamon and nutmeg.</p><p>&nbsp;</p><p>Top: Green Pear, Brown Sugar, Apple</p><p>Middle: Coconut, Cinnamon, Nutmeg</p><p>Base: Musk, Orange, Peppermint</p>",8079b4_c3337b0f69704ffe9cb5f125fcae11b0~mv2.png;8079b4_ca74950d3abf4f9fb0d8f1e5f13e4d72~mv2.png;8079b4_842b1e1aeb9d460e84f5aa06b6474d97~mv2.jpg;8079b4_b27d72073d02424f9db8e894b1152709~mv2.jpg,Candles,CAN06EPS,,24.0,,true,PERCENT,0.0,InStock,0.25,6.4,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Candle dimension: Height 84mm x Diameter 70mm</p>

<p>20cl, 180g<br>
Burn time: Approx 50 hours</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_8a525d69-44c7-c348-e1a7-97044ad4ab9c,Product,Moroccan Rose Soy Candle,"<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.</p><p>&nbsp;</p><p>An exotic, heady blend of rose buds, orange blossom and citrus top notes, with floral heart notes of geranium, patchouli, jasmine, lily and spice.&nbsp;&nbsp;</p><p>&nbsp;</p><p>Top: Rose buds, Orange Blossom, Grapefruit</p><p>Middle: Rose Geranium, Jasmine, Lily</p><p>Base: Sandalwood, Patchouli, Pink Peppercorn</p>",8079b4_c60f4974693e455ab2fa7713cf66d589~mv2.png;8079b4_bc67dcaa847542f18fe85328f584a96c~mv2.png;8079b4_5b705d5244db45098e16ce66ef338f4c~mv2.jpg;8079b4_1904ae5c734744ab89173cb60204b6a8~mv2.jpg;8079b4_1e8c08fe74b94b05af001af757df1ab0~mv2.jpg;8079b4_296e3a31ca384533991b55c2db7075fe~mv2.jpg,Candles,CAN05MR,,24.0,,true,PERCENT,0.0,InStock,0.25,6.4,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Candle dimension: Height 84mm x Diameter 70mm</p>

<p>20cl, 180g<br>
Burn time: Approx 50 hours</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_f183fbc4-3cd9-472f-4631-76f562791fbd,Product,Amber & Tonka Bean Soy Candle,"<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.</p><p>&nbsp;</p><p>A blend of exotic bergamot, grapefruit, cassis, orris, jasmine and orange blossom aromas, with sweet notes of lily, tonka, vanilla and praline on woody base notes of patchouli, cedarwood, musk and amber.</p><p>&nbsp;</p><p>Top: Bergamot, Grapefruit, Cassis, Orris, Jasmine&nbsp;</p><p>Middle: Tonka Bean, Lily, Vanilla, Burnt Praline</p><p>Base: Patchouli, Cedarwood, Amber, Musk</p>",8079b4_40ae78a2280a4e67a443c8b5b72c820a~mv2.png;8079b4_d05e9a20063c4086b5937c2b2e732127~mv2.png;8079b4_b08f7372848f4519b05cdd3c21030be1~mv2.jpg;8079b4_783227b4e20843229db5fba8fdfca0ab~mv2.jpg;8079b4_7819a9007743415b88c3437b5e944504~mv2.jpg;8079b4_8832283c71d3471d9636ddc1853fdb93~mv2.jpg;8079b4_fbc2e03916dc4f12996fe1eab9132935~mv2.jpg,Candles,CAN01ATB,,24.0,,true,PERCENT,0.0,InStock,0.25,6.4,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Candle dimension: Height 84mm x Diameter 70mm</p>

<p>20cl, 180g<br>
Burn time: Approx 50 hours</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
product_df19c1f7-07d8-a265-42f8-e8dfa824cc6e,Product,Verbena & Lime Soy Candle,"<p>Responsibly sourced soy candles with cotton wicks, fine fragrance and essential oils.<br>&nbsp;</p><p>The herbaceous, zesty aroma of verbena, combines beautifully with fresh, fruity lime and notes of grapefruit and rosewood for a punchy aroma that awakens the senses.&nbsp;</p><p>&nbsp;</p><p>Top: Lemon, Grapefruit, Coconut, Mandarin</p><p>Middle: Verbena, Lime, Rosewood</p><p>Base: Cedarwood, Orris, Musk</p>",8079b4_e7b3068f148245eab52e7c36033bfbb4~mv2.png;8079b4_473f6478d5d442619fd215240c601611~mv2.png;8079b4_02daea50dbee4793817d12719c44087c~mv2.jpg;8079b4_aebd1a898e3e46ad94684b36f06c6502~mv2.jpg;8079b4_a3f00ad093ea41659935133849f9a2a7~mv2.jpg;8079b4_ddf60f74c0504db787068ee167b612c4~mv2.jpg;8079b4_0f03506de51f40568f1c04d006537642~mv2.jpg,Candles,CAN04VL,,24.0,,true,PERCENT,0.0,InStock,0.25,6.4,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<p>Candle dimension: Height 84mm x Diameter 70mm</p>

<p>20cl, 180g<br>
Burn time: Approx 50 hours</p>
",SHIPPING INFO,"<p>FREE Standard UK Delivery on orders over £30<br>
Spend over £30 and receive free delivery dispatched and takes 3 - 5 working days.</p>

<p>Standard Delivery<br>
3 - 5 working days.</p>

<p>Express Delivery<br>
1-2 working days.<br>
<br>
We always aim to dispatch orders within 2 working days but at busier times this can become longer.</p>
",,,,,,,,,,,,,,,Blossom Soul
